	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
FAM114A1	0	0.27945389318	0.323	0.079	0	Fibroblasts	FAM114A1
MAP1B	0	0.279284078349766	0.35	0.14	0	Fibroblasts	MAP1B
APLP2	0	0.279083428167086	0.544	0.306	0	Fibroblasts	APLP2
SH3KBP1	0	0.278973792175455	0.335	0.077	0	Fibroblasts	SH3KBP1
PRSS23	0	0.27828098583916	0.29	0.1	0	Fibroblasts	PRSS23
DDX24	0	0.278203801633448	0.628	0.458	0	Fibroblasts	DDX24
NDN	0	0.277998472492943	0.301	0.042	0	Fibroblasts	NDN
TPST1	0	0.277864429046843	0.27	0.019	0	Fibroblasts	TPST1
COPZ2	0	0.277512112288482	0.367	0.134	0	Fibroblasts	COPZ2
FOXO3	0	0.27679638952367	0.407	0.164	0	Fibroblasts	FOXO3
SNAI2	0	0.276493670867966	0.359	0.154	0	Fibroblasts	SNAI2
NCOA7	0	0.276095671627769	0.508	0.259	0	Fibroblasts	NCOA7
RBPJ	0	0.275671574054835	0.451	0.213	0	Fibroblasts	RBPJ
DPYSL3	0	0.274778539317947	0.267	0.024	0	Fibroblasts	DPYSL3
EMP3	0	0.274634882509817	0.61	0.222	0	Fibroblasts	EMP3
NUFIP2	0	0.273781640989965	0.52	0.279	0	Fibroblasts	NUFIP2
MT-ND2	0	0.273299050216619	0.992	0.985	0	Fibroblasts	MT-ND2
TMEM50A	0	0.272541862764263	0.599	0.412	0	Fibroblasts	TMEM50A
RASSF8	0	0.272404551477008	0.273	0.037	0	Fibroblasts	RASSF8
TWSG1	0	0.272358907831412	0.322	0.071	0	Fibroblasts	TWSG1
TRPS1	0	0.27215193276739	0.323	0.093	0	Fibroblasts	TRPS1
RBBP6	0	0.272124405604738	0.459	0.258	0	Fibroblasts	RBBP6
MTRNR2L12	0	0.272074850017152	0.816	0.72	0	Fibroblasts	MTRNR2L12
MYO1B	0	0.271193264762097	0.361	0.119	0	Fibroblasts	MYO1B
TSC22D3	0	0.2703146863084	0.421	0.194	0	Fibroblasts	TSC22D3
B4GALT1	0	0.27023647911779	0.406	0.161	0	Fibroblasts	B4GALT1
TSC22D2	0	0.269887592955783	0.336	0.113	0	Fibroblasts	TSC22D2
SNHG32	0	0.269596901004212	0.468	0.234	0	Fibroblasts	SNHG32
TEAD1	0	0.269141140313366	0.34	0.099	0	Fibroblasts	TEAD1
KLF10	0	0.268893425958643	0.45	0.261	0	Fibroblasts	KLF10
CCNL1	0	0.268182485515505	0.641	0.532	0	Fibroblasts	CCNL1
ICAM1	0	0.267884942780797	0.508	0.185	0	Fibroblasts	ICAM1
SELENOF	0	0.267812583045813	0.46	0.231	0	Fibroblasts	SELENOF
ASPH	0	0.267715163688605	0.439	0.187	0	Fibroblasts	ASPH
TCF7L2	0	0.266342296573383	0.322	0.101	0	Fibroblasts	TCF7L2
MIR4435-2HG	0	0.265902037899483	0.258	0.04	0	Fibroblasts	MIR4435-2HG
GLT8D2	0	0.263828511949646	0.252	0.013	0	Fibroblasts	GLT8D2
MIR222HG	0	0.263210447041791	0.281	0.082	0	Fibroblasts	MIR222HG
COX6C	0	0.262470394696985	0.892	0.865	0	Fibroblasts	COX6C
LGALS3BP	0	0.261946893184215	0.417	0.215	0	Fibroblasts	LGALS3BP
MT-ND3	0	0.261654332990871	0.994	0.993	0	Fibroblasts	MT-ND3
SCARB2	0	0.261237646951586	0.392	0.16	0	Fibroblasts	SCARB2
BMERB1	0	0.260740514264994	0.27	0.034	0	Fibroblasts	BMERB1
RNF217	0	0.26052347010609	0.278	0.078	0	Fibroblasts	RNF217
SEC11A	0	0.260055395361281	0.677	0.518	0	Fibroblasts	SEC11A
FKBP9	0	0.259606789573685	0.314	0.085	0	Fibroblasts	FKBP9
KIF1B	0	0.259190234168982	0.351	0.126	0	Fibroblasts	KIF1B
HDLBP	0	0.258094273946754	0.465	0.245	0	Fibroblasts	HDLBP
TPM1	0	0.257243316503518	0.452	0.201	0	Fibroblasts	TPM1
ARHGAP21	0	0.256545829514149	0.345	0.115	0	Fibroblasts	ARHGAP21
EBF1	0	0.255958396046611	0.31	0.083	0	Fibroblasts	EBF1
ABL1	0	0.255670670589099	0.274	0.047	0	Fibroblasts	ABL1
TTC3	0	0.255422140966888	0.415	0.211	0	Fibroblasts	TTC3
MAGI2-AS3	0	0.254483791010079	0.265	0.033	0	Fibroblasts	MAGI2-AS3
SNX9	0	0.252624952742401	0.358	0.129	0	Fibroblasts	SNX9
SAMD4A	0	0.251543413557993	0.275	0.05	0	Fibroblasts	SAMD4A
JUNB	3.17850020780597e-222	0.251198085463999	0.922	0.913	8.14395323244044e-218	Fibroblasts	JUNB
FOSB	2.48693123582815e-155	0.251687327950839	0.683	0.66	6.3720152124389e-151	Fibroblasts	FOSB
JUN	7.04975776069378e-140	0.324405933751168	0.845	0.86	1.80628893344496e-135	Fibroblasts	JUN
HLA-DRA	0	3.15971099763086	0.917	0.407	0	Myeloid cells	HLA-DRA
HLA-DPB1	0	2.93088448158598	0.9	0.295	0	Myeloid cells	HLA-DPB1
CXCL8	0	2.88074129340522	0.671	0.097	0	Myeloid cells	CXCL8
HLA-DPA1	0	2.73211659460696	0.895	0.275	0	Myeloid cells	HLA-DPA1
HLA-DRB1	0	2.67165222423965	0.911	0.337	0	Myeloid cells	HLA-DRB1
LYZ	0	2.63343309497347	0.812	0.029	0	Myeloid cells	LYZ
CD74	0	2.56153398365623	0.918	0.44	0	Myeloid cells	CD74
IL1B	0	2.41241309658933	0.421	0.019	0	Myeloid cells	IL1B
HLA-DQA1	0	2.39298600762854	0.86	0.078	0	Myeloid cells	HLA-DQA1
SRGN	0	2.35551164004394	0.882	0.206	0	Myeloid cells	SRGN
HLA-DQB1	0	2.21611785659174	0.839	0.077	0	Myeloid cells	HLA-DQB1
GPR183	0	2.13053315783881	0.781	0.051	0	Myeloid cells	GPR183
SAT1	0	1.94754455757536	0.972	0.817	0	Myeloid cells	SAT1
EREG	0	1.93473568722863	0.361	0.014	0	Myeloid cells	EREG
G0S2	0	1.77119459635122	0.446	0.09	0	Myeloid cells	G0S2
BCL2A1	0	1.59050245485684	0.648	0.02	0	Myeloid cells	BCL2A1
FTL1	0	1.57803426876998	0.958	0.894	0	Myeloid cells	FTL
CD83	0	1.5305601736063	0.746	0.061	0	Myeloid cells	CD83
INSIG1	0	1.48977022008383	0.711	0.173	0	Myeloid cells	INSIG1
CTSZ	0	1.47326948855401	0.815	0.187	0	Myeloid cells	CTSZ
HLA-DRB5	0	1.47084438022037	0.62	0.048	0	Myeloid cells	HLA-DRB5
CST31	0	1.4642544649794	0.952	0.868	0	Myeloid cells	CST3
FTH11	0	1.45494664175419	0.96	0.859	0	Myeloid cells	FTH1
SERPINB9	0	1.45164583880794	0.718	0.071	0	Myeloid cells	SERPINB9
BIRC3	0	1.37959608530717	0.677	0.2	0	Myeloid cells	BIRC3
TMSB4X	0	1.37517836372148	0.993	0.971	0	Myeloid cells	TMSB4X
TYROBP	0	1.3664284708401	0.71	0.024	0	Myeloid cells	TYROBP
C15orf48	0	1.2733801694242	0.51	0.019	0	Myeloid cells	C15orf48
PLEK	0	1.26693455633794	0.674	0.011	0	Myeloid cells	PLEK
CCR7	0	1.25131818939232	0.367	0.016	0	Myeloid cells	CCR7
MMP9	0	1.24398452050831	0.404	0.014	0	Myeloid cells	MMP9
ARL4C	0	1.23707600639138	0.701	0.177	0	Myeloid cells	ARL4C
LCP1	0	1.21253715647666	0.741	0.032	0	Myeloid cells	LCP1
AIF1	0	1.20923384824469	0.652	0.012	0	Myeloid cells	AIF1
CXCL31	0	1.20923185110031	0.426	0.145	0	Myeloid cells	CXCL3
CPVL	0	1.16981983164169	0.531	0.021	0	Myeloid cells	CPVL
CTSS	0	1.15970124044229	0.683	0.117	0	Myeloid cells	CTSS
RGS1	0	1.13977888461891	0.498	0.025	0	Myeloid cells	RGS1
TXN	0	1.13503105412883	0.954	0.95	0	Myeloid cells	TXN
C1QA	0	1.07867971772104	0.343	0.009	0	Myeloid cells	C1QA
FCER1G	0	1.06965933415784	0.588	0.022	0	Myeloid cells	FCER1G
HSPH11	0	1.04174835954705	0.802	0.569	0	Myeloid cells	HSPH1
HSPD1	0	1.04056632963331	0.899	0.701	0	Myeloid cells	HSPD1
SOD21	0	1.04053245086705	0.848	0.772	0	Myeloid cells	SOD2
REL	0	1.03623682703646	0.744	0.3	0	Myeloid cells	REL
MXD1	0	1.02994738408275	0.605	0.08	0	Myeloid cells	MXD1
HSP90AA1	0	1.02785440021318	0.999	0.983	0	Myeloid cells	HSP90AA1
BASP11	0	1.02774032364222	0.681	0.222	0	Myeloid cells	BASP1
HLA-DMA	0	1.022889387393	0.727	0.082	0	Myeloid cells	HLA-DMA
ID2	0	1.01428049299298	0.659	0.468	0	Myeloid cells	ID2
SERPINB1	0	1.0057863998196	0.662	0.252	0	Myeloid cells	SERPINB1
HMOX11	0	1.00423382308523	0.433	0.156	0	Myeloid cells	HMOX1
PLAUR	0	0.99824567759462	0.644	0.126	0	Myeloid cells	PLAUR
NFKB1	0	0.993687095297239	0.686	0.218	0	Myeloid cells	NFKB1
C5AR1	0	0.993609130940883	0.404	0.011	0	Myeloid cells	C5AR1
COTL1	0	0.983180063313462	0.682	0.105	0	Myeloid cells	COTL1
LITAF	0	0.978789630219355	0.651	0.215	0	Myeloid cells	LITAF
HSPA1A1	0	0.97605890647116	0.907	0.826	0	Myeloid cells	HSPA1A
CXCR4	0	0.975159719448846	0.559	0.07	0	Myeloid cells	CXCR4
HSPA6	0	0.966168784313088	0.271	0.073	0	Myeloid cells	HSPA6
STK4	0	0.959354578253632	0.664	0.104	0	Myeloid cells	STK4
EMP31	0	0.954195263376673	0.745	0.21	0	Myeloid cells	EMP3
TNFRSF1B	0	0.951170896713264	0.547	0.044	0	Myeloid cells	TNFRSF1B
LGALS2	0	0.94577839521118	0.508	0.006	0	Myeloid cells	LGALS2
PPIF	0	0.93925144745282	0.569	0.132	0	Myeloid cells	PPIF
IFI30	0	0.930561439011492	0.626	0.101	0	Myeloid cells	IFI30
CFLAR	0	0.925801056725907	0.731	0.225	0	Myeloid cells	CFLAR
GNA13	0	0.896425989090752	0.655	0.101	0	Myeloid cells	GNA13
LAPTM5	0	0.877577814381043	0.649	0.041	0	Myeloid cells	LAPTM5
FGL2	0	0.873394386271374	0.497	0.092	0	Myeloid cells	FGL2
GPAT3	0	0.861231206473988	0.456	0.012	0	Myeloid cells	GPAT3
HLA-DQA2	0	0.853931876853759	0.463	0.017	0	Myeloid cells	HLA-DQA2
SAMSN1	0	0.845287800657132	0.45	0.029	0	Myeloid cells	SAMSN1
MIR155HG	0	0.845023258135877	0.364	0.022	0	Myeloid cells	MIR155HG
CMTM6	0	0.838755269856251	0.675	0.141	0	Myeloid cells	CMTM6
CYBA	0	0.838611384737242	0.719	0.21	0	Myeloid cells	CYBA
NAMPT1	0	0.837373191985834	0.811	0.588	0	Myeloid cells	NAMPT
C1QB	0	0.83157382947902	0.291	0.008	0	Myeloid cells	C1QB
EZR	0	0.82602961639055	0.786	0.465	0	Myeloid cells	EZR
FNIP2	0	0.825708764249202	0.497	0.085	0	Myeloid cells	FNIP2
TNFAIP8	0	0.820480986021147	0.641	0.201	0	Myeloid cells	TNFAIP8
CTSB	0	0.818648267485642	0.59	0.518	0	Myeloid cells	CTSB
LST1	0	0.810183300420093	0.545	0.009	0	Myeloid cells	LST1
CRIP1	0	0.800306414171071	0.749	0.468	0	Myeloid cells	CRIP1
ATP13A3	0	0.797697063773261	0.529	0.122	0	Myeloid cells	ATP13A3
CYTIP	0	0.760388202847683	0.496	0.027	0	Myeloid cells	CYTIP
CREM	0	0.756106852993563	0.63	0.164	0	Myeloid cells	CREM
CD441	0	0.752154730758105	0.888	0.796	0	Myeloid cells	CD44
SGK1	0	0.748589403168483	0.561	0.308	0	Myeloid cells	SGK1
PNRC11	0	0.741378163617331	0.892	0.802	0	Myeloid cells	PNRC1
MS4A7	0	0.7361743346658	0.416	0.005	0	Myeloid cells	MS4A7
CST7	0	0.734268549552599	0.379	0.016	0	Myeloid cells	CST7
TXNRD1	0	0.725419665007522	0.467	0.129	0	Myeloid cells	TXNRD1
NABP1	0	0.723854082218961	0.531	0.116	0	Myeloid cells	NABP1
SLC7A11	0	0.722347464910175	0.313	0.021	0	Myeloid cells	SLC7A11
FNBP1	0	0.716091052281914	0.588	0.122	0	Myeloid cells	FNBP1
PSAP1	0	0.714816227223307	0.74	0.553	0	Myeloid cells	PSAP
MS4A6A	0	0.713964420739864	0.447	0.006	0	Myeloid cells	MS4A6A
RAB8B	0	0.712916125315548	0.589	0.121	0	Myeloid cells	RAB8B
ZEB21	0	0.709417782417854	0.544	0.214	0	Myeloid cells	ZEB2
GLIPR1	0	0.704416561002529	0.481	0.032	0	Myeloid cells	GLIPR1
PDE4B	0	0.6916473956931	0.547	0.08	0	Myeloid cells	PDE4B
DAPP1	0	0.688729451931783	0.438	0.059	0	Myeloid cells	DAPP1
HLA-DMB	0	0.687963286439978	0.53	0.025	0	Myeloid cells	HLA-DMB
FAM49A	0	0.687771742819486	0.496	0.032	0	Myeloid cells	FAM49A
FCGR2A	0	0.68508858960317	0.36	0.009	0	Myeloid cells	FCGR2A
C1QC	0	0.682936231604336	0.28	0.005	0	Myeloid cells	C1QC
GRB2	0	0.680789768094067	0.619	0.171	0	Myeloid cells	GRB2
NINJ1	0	0.677658437628157	0.577	0.169	0	Myeloid cells	NINJ1
PTGS21	0	0.671297054768151	0.357	0.143	0	Myeloid cells	PTGS2
BTG1	0	0.67106111613326	0.907	0.916	0	Myeloid cells	BTG1
SELENOK	0	0.667624090135019	0.708	0.48	0	Myeloid cells	SELENOK
RGS2	0	0.660231545662146	0.423	0.123	0	Myeloid cells	RGS2
ATP1B1	0	0.65881615466664	0.558	0.128	0	Myeloid cells	ATP1B1
CHMP1B	0	0.655614348602194	0.583	0.234	0	Myeloid cells	CHMP1B
GPR157	0	0.654728022144326	0.388	0.04	0	Myeloid cells	GPR157
TNFAIP31	0	0.653648989139034	0.581	0.28	0	Myeloid cells	TNFAIP3
TRAF1	0	0.650310699638663	0.44	0.018	0	Myeloid cells	TRAF1
PTPRC	0	0.647188476508395	0.538	0.034	0	Myeloid cells	PTPRC
IL1RN	0	0.646407092161366	0.325	0.118	0	Myeloid cells	IL1RN
ACTB	0	0.641921139599832	0.991	0.982	0	Myeloid cells	ACTB
CXCL21	0	0.63979057080031	0.469	0.214	0	Myeloid cells	CXCL2
PTPN1	0	0.639769459376771	0.517	0.144	0	Myeloid cells	PTPN1
IRF8	0	0.638712252040807	0.409	0.045	0	Myeloid cells	IRF8
TIMP11	0	0.634980378823232	0.565	0.42	0	Myeloid cells	TIMP1
RAB11FIP1	0	0.632337658194697	0.414	0.07	0	Myeloid cells	RAB11FIP1
HSPA5	0	0.626784548200078	0.73	0.633	0	Myeloid cells	HSPA5
CD55	0	0.626550763314445	0.576	0.218	0	Myeloid cells	CD55
NR4A3	0	0.62481620733478	0.455	0.082	0	Myeloid cells	NR4A3
GK	0	0.617954807846714	0.393	0.033	0	Myeloid cells	GK
MAP4K4	0	0.614829232099376	0.488	0.171	0	Myeloid cells	MAP4K4
CD68	0	0.612007593151756	0.41	0.04	0	Myeloid cells	CD68
ST8SIA4	0	0.605172680116076	0.455	0.04	0	Myeloid cells	ST8SIA4
DUSP2	0	0.603527949145547	0.411	0.075	0	Myeloid cells	DUSP2
IER5	0	0.601305759505871	0.55	0.283	0	Myeloid cells	IER5
RGS10	0	0.601183280938416	0.522	0.118	0	Myeloid cells	RGS10
SQSTM11	0	0.600516375415007	0.786	0.573	0	Myeloid cells	SQSTM1
F13A11	0	0.598539287487695	0.288	0.089	0	Myeloid cells	F13A1
DSE	0	0.598096487277156	0.54	0.138	0	Myeloid cells	DSE
TNFAIP21	0	0.595942941170345	0.446	0.142	0	Myeloid cells	TNFAIP2
IL7R	0	0.589923933882125	0.257	0.026	0	Myeloid cells	IL7R
DNAJB6	0	0.588374085677756	0.762	0.555	0	Myeloid cells	DNAJB6
BCAT1	0	0.588112684990988	0.386	0.008	0	Myeloid cells	BCAT1
TMSB10	0	0.58481127975825	0.998	0.983	0	Myeloid cells	TMSB10
BID	0	0.582817484612322	0.503	0.106	0	Myeloid cells	BID
ATP2B1	0	0.580929362254703	0.542	0.215	0	Myeloid cells	ATP2B1
MCL1	0	0.580594010141248	0.781	0.559	0	Myeloid cells	MCL1
CCDC88A	0	0.580157787990495	0.518	0.091	0	Myeloid cells	CCDC88A
SDCBP	0	0.580103176760977	0.708	0.428	0	Myeloid cells	SDCBP
MRC1	0	0.577487121130512	0.316	0.008	0	Myeloid cells	MRC1
RBM47	0	0.576670450074068	0.417	0.062	0	Myeloid cells	RBM47
RALA	0	0.575107245196812	0.601	0.269	0	Myeloid cells	RALA
CD48	0	0.573376806113271	0.406	0.02	0	Myeloid cells	CD48
ANXA51	0	0.569518730732637	0.846	0.607	0	Myeloid cells	ANXA5
LSP1	0	0.562147375547546	0.425	0.05	0	Myeloid cells	LSP1
ARL8B	0	0.561326934677698	0.544	0.185	0	Myeloid cells	ARL8B
LGMN	0	0.555490055769383	0.285	0.115	0	Myeloid cells	LGMN
SPI1	0	0.555202680289627	0.456	0.007	0	Myeloid cells	SPI1
CXCL16	0	0.552218429583501	0.482	0.078	0	Myeloid cells	CXCL16
METRNL	0	0.552185939568201	0.55	0.188	0	Myeloid cells	METRNL
CLEC10A	0	0.549637859487535	0.334	0.003	0	Myeloid cells	CLEC10A
KYNU	0	0.54603612018811	0.447	0.141	0	Myeloid cells	KYNU
MARCKSL1	0	0.545751157270038	0.421	0.112	0	Myeloid cells	MARCKSL1
BNIP3L	0	0.545582216449084	0.458	0.213	0	Myeloid cells	BNIP3L
FPR3	0	0.545523492603098	0.33	0.003	0	Myeloid cells	FPR3
CD37	0	0.544550969363066	0.443	0.025	0	Myeloid cells	CD37
ATP6V0C	0	0.543349611205799	0.81	0.614	0	Myeloid cells	ATP6V0C
MARCKS1	0	0.540713103587806	0.762	0.756	0	Myeloid cells	MARCKS
ABCA1	0	0.538375240808619	0.409	0.168	0	Myeloid cells	ABCA1
GLA	0	0.536979908564155	0.425	0.098	0	Myeloid cells	GLA
MAP2K3	0	0.534475359902923	0.571	0.187	0	Myeloid cells	MAP2K3
IL10RA	0	0.533669121207443	0.417	0.014	0	Myeloid cells	IL10RA
AKAP13	0	0.533251845830331	0.623	0.253	0	Myeloid cells	AKAP13
EDEM1	0	0.529527910548359	0.439	0.042	0	Myeloid cells	EDEM1
HSPA8	0	0.527511163099875	0.924	0.818	0	Myeloid cells	HSPA8
LRRFIP1	0	0.526414792941307	0.744	0.525	0	Myeloid cells	LRRFIP1
ITGB2	0	0.524516638497792	0.422	0.008	0	Myeloid cells	ITGB2
SLC5A3	0	0.517099392821179	0.385	0.122	0	Myeloid cells	SLC5A3
ALCAM	0	0.516075670411342	0.395	0.048	0	Myeloid cells	ALCAM
NFKBIA1	0	0.514661948109064	0.851	0.779	0	Myeloid cells	NFKBIA
ETV3	0	0.508920408355683	0.444	0.094	0	Myeloid cells	ETV3
CALR	0	0.508298003894533	0.835	0.676	0	Myeloid cells	CALR
GPBP1	0	0.506367398075337	0.664	0.317	0	Myeloid cells	GPBP1
USP12	0	0.494636455477416	0.501	0.152	0	Myeloid cells	USP12
HCST	0	0.49044577588035	0.397	0.022	0	Myeloid cells	HCST
DNAJA4	0	0.488811800633028	0.334	0.061	0	Myeloid cells	DNAJA4
PDE4DIP	0	0.488315451227692	0.405	0.071	0	Myeloid cells	PDE4DIP
CD86	0	0.485127931018471	0.352	0.003	0	Myeloid cells	CD86
NRP2	0	0.484919751114193	0.348	0.084	0	Myeloid cells	NRP2
DUSP4	0	0.482075051420293	0.341	0.097	0	Myeloid cells	DUSP4
S100A41	0	0.479615067077552	0.704	0.569	0	Myeloid cells	S100A4
CHD2	0	0.476939986778686	0.585	0.253	0	Myeloid cells	CHD2
SPAG9	0	0.475769042791693	0.636	0.28	0	Myeloid cells	SPAG9
BACH1	0	0.473888361713318	0.469	0.142	0	Myeloid cells	BACH1
TES	0	0.470874487452324	0.457	0.146	0	Myeloid cells	TES
DUSP5	0	0.470323020438513	0.367	0.12	0	Myeloid cells	DUSP5
CSF2RA	0	0.468430130530558	0.362	0.005	0	Myeloid cells	CSF2RA
PABPC1	0	0.460934254474907	0.961	0.904	0	Myeloid cells	PABPC1
RUNX3	0	0.460730453303745	0.414	0.066	0	Myeloid cells	RUNX3
RHOG	0	0.459353455624502	0.485	0.123	0	Myeloid cells	RHOG
OPN3	0	0.459133841419283	0.345	0.03	0	Myeloid cells	OPN3
CIITA	0	0.458723257662585	0.351	0.015	0	Myeloid cells	CIITA
C1orf54	0	0.458697285866408	0.276	0.044	0	Myeloid cells	C1orf54
H2AFZ	0	0.458525171786041	0.88	0.778	0	Myeloid cells	H2AFZ
ADA2	0	0.45520340412426	0.354	0.011	0	Myeloid cells	ADA2
GLS	0	0.45504754903917	0.518	0.215	0	Myeloid cells	GLS
GNAI2	0	0.453920949231078	0.647	0.317	0	Myeloid cells	GNAI2
IL1R2	0	0.452999705089595	0.266	0.028	0	Myeloid cells	IL1R2
LPXN	0	0.452515306841719	0.318	0.019	0	Myeloid cells	LPXN
RNF144B	0	0.448580419601334	0.353	0.066	0	Myeloid cells	RNF144B
AC020656.1	0	0.448261629692419	0.275	0.007	0	Myeloid cells	AC020656.1
CD53	0	0.447498820326132	0.384	0.014	0	Myeloid cells	CD53
SMAP2	0	0.447353132981311	0.388	0.076	0	Myeloid cells	SMAP2
FAM107B	0	0.446492267154732	0.491	0.164	0	Myeloid cells	FAM107B
CACYBP	0	0.446216217107979	0.569	0.315	0	Myeloid cells	CACYBP
ZFYVE16	0	0.445718502228484	0.359	0.114	0	Myeloid cells	ZFYVE16
JARID2	0	0.445063232106816	0.431	0.132	0	Myeloid cells	JARID2
TPM3	0	0.444230761736494	0.836	0.631	0	Myeloid cells	TPM3
TACC1	0	0.44302180916682	0.48	0.187	0	Myeloid cells	TACC1
WTAP1	0	0.442471605861183	0.577	0.334	0	Myeloid cells	WTAP
ACTR2	0	0.442213525774839	0.654	0.41	0	Myeloid cells	ACTR2
ARL6IP51	0	0.43458869613949	0.66	0.442	0	Myeloid cells	ARL6IP5
HSPE1	0	0.433779900909777	0.84	0.783	0	Myeloid cells	HSPE1
ATP5F1E	0	0.433700553864134	0.989	0.959	0	Myeloid cells	ATP5F1E
RHOF	0	0.432622564954652	0.376	0.019	0	Myeloid cells	RHOF
PLEKHO1	0	0.432614504467309	0.448	0.096	0	Myeloid cells	PLEKHO1
CYBB	0	0.432425808437441	0.27	0.003	0	Myeloid cells	CYBB
TET2	0	0.431604424108693	0.407	0.087	0	Myeloid cells	TET2
ISG20	0	0.42817109904195	0.314	0.053	0	Myeloid cells	ISG20
FLNA	0	0.426144971752087	0.537	0.252	0	Myeloid cells	FLNA
PTPRE	0	0.425856629101692	0.43	0.107	0	Myeloid cells	PTPRE
PDE4A	0	0.424914676195268	0.382	0.034	0	Myeloid cells	PDE4A
ZC3HAV1	0	0.414087650242935	0.415	0.187	0	Myeloid cells	ZC3HAV1
TNFSF13B	0	0.413861599619311	0.308	0.03	0	Myeloid cells	TNFSF13B
LGALS11	0	0.413828787827126	0.856	0.583	0	Myeloid cells	LGALS1
NFE2L2	0	0.411796749210536	0.807	0.719	0	Myeloid cells	NFE2L2
FOSL2	0	0.411663403296824	0.503	0.254	0	Myeloid cells	FOSL2
MGAT1	0	0.411079274934588	0.432	0.146	0	Myeloid cells	MGAT1
PEA15	0	0.408651169651972	0.481	0.158	0	Myeloid cells	PEA15
MALT1	0	0.408532083106955	0.348	0.09	0	Myeloid cells	MALT1
STX11	0	0.406128792021276	0.389	0.067	0	Myeloid cells	STX11
PPP1R18	0	0.406015401748237	0.513	0.181	0	Myeloid cells	PPP1R18
CSTB1	0	0.405109137932418	0.862	0.765	0	Myeloid cells	CSTB
AHR1	0	0.403644761033448	0.574	0.389	0	Myeloid cells	AHR
CLEC7A	0	0.399244152092837	0.385	0.072	0	Myeloid cells	CLEC7A
CDC42EP3	0	0.39823566401433	0.399	0.122	0	Myeloid cells	CDC42EP3
RILPL2	0	0.397768433041644	0.395	0.117	0	Myeloid cells	RILPL2
PPT1	0	0.397632097117672	0.412	0.111	0	Myeloid cells	PPT1
GPSM3	0	0.395684034042592	0.366	0.027	0	Myeloid cells	GPSM3
CSGALNACT2	0	0.39486736959752	0.39	0.102	0	Myeloid cells	CSGALNACT2
RASGEF1B	0	0.391834375633872	0.339	0.069	0	Myeloid cells	RASGEF1B
NAP1L1	0	0.391806155241394	0.848	0.746	0	Myeloid cells	NAP1L1
LYN	0	0.389808425058956	0.367	0.06	0	Myeloid cells	LYN
RAP1B	0	0.389234786018529	0.604	0.321	0	Myeloid cells	RAP1B
FKBP4	0	0.388333986149064	0.448	0.209	0	Myeloid cells	FKBP4
PPP1R15B	0	0.388218916357536	0.433	0.171	0	Myeloid cells	PPP1R15B
SERP1	0	0.388208658085672	0.73	0.525	0	Myeloid cells	SERP1
NEAT1	0	0.387779574164648	0.994	0.993	0	Myeloid cells	NEAT1
G3BP2	0	0.386529446957608	0.456	0.2	0	Myeloid cells	G3BP2
PLEKHB2	0	0.386088195926999	0.465	0.152	0	Myeloid cells	PLEKHB2
VASP	0	0.384834442590985	0.447	0.154	0	Myeloid cells	VASP
BRI3	0	0.384764001095646	0.78	0.639	0	Myeloid cells	BRI3
GPR137B	0	0.384145228522514	0.34	0.04	0	Myeloid cells	GPR137B
OTUD1	0	0.383331676098204	0.359	0.1	0	Myeloid cells	OTUD1
VMP1	0	0.382978102157798	0.638	0.488	0	Myeloid cells	VMP1
CYTH1	0	0.382337718607558	0.427	0.11	0	Myeloid cells	CYTH1
RAB9A	0	0.382315399769163	0.354	0.138	0	Myeloid cells	RAB9A
OAZ1	0	0.379995332862698	0.98	0.953	0	Myeloid cells	OAZ1
ISG15	0	0.378801936718238	0.409	0.258	0	Myeloid cells	ISG15
MNDA	0	0.378413012431192	0.262	0.004	0	Myeloid cells	MNDA
MAP3K8	0	0.378291681924187	0.43	0.197	0	Myeloid cells	MAP3K8
CKS2	0	0.377185660088032	0.436	0.181	0	Myeloid cells	CKS2
TGFBI	0	0.376977221947876	0.397	0.136	0	Myeloid cells	TGFBI
MCOLN2	0	0.376244513468571	0.301	0.006	0	Myeloid cells	MCOLN2
ARFGAP3	0	0.375087949988306	0.419	0.13	0	Myeloid cells	ARFGAP3
CTSH	0	0.373179532523595	0.38	0.106	0	Myeloid cells	CTSH
JMJD1C	0	0.373030782979827	0.509	0.262	0	Myeloid cells	JMJD1C
LCP2	0	0.371302472387928	0.255	0.012	0	Myeloid cells	LCP2
DYNC1H1	0	0.369606895636788	0.555	0.304	0	Myeloid cells	DYNC1H1
EVI2B	0	0.36718640276858	0.314	0.011	0	Myeloid cells	EVI2B
CD4	0	0.366105720856735	0.314	0.017	0	Myeloid cells	CD4
CHORDC1	0	0.365018172968162	0.404	0.153	0	Myeloid cells	CHORDC1
IL4I1	0	0.364063522784244	0.256	0.013	0	Myeloid cells	IL4I1
EHD1	0	0.363450305060182	0.304	0.103	0	Myeloid cells	EHD1
NPC2	0	0.362699694081524	0.693	0.579	0	Myeloid cells	NPC2
PHACTR1	0	0.36084827379887	0.27	0.029	0	Myeloid cells	PHACTR1
TMEM123	0	0.359845449848213	0.579	0.407	0	Myeloid cells	TMEM123
SH2B3	0	0.357886368068309	0.349	0.041	0	Myeloid cells	SH2B3
LIMS1	0	0.357664594359578	0.446	0.264	0	Myeloid cells	LIMS1
BCL2L11	0	0.356701641827512	0.321	0.087	0	Myeloid cells	BCL2L11
